strategy,depth,limit,reps,avg_ms,p95_ms,min_ms,max_ms,stddev_ms,errors,url_sample,timestamp
page-based,1000,1000,20,287.3,,199.3,614.1,,0,http://localhost:5000/api/v1/books?page=1000&limit=1000,2026-04-09T22:46:38.665217
page-based,2500,1000,20,218.6,,208.4,241.1,,0,http://localhost:5000/api/v1/books?page=2500&limit=1000,2026-04-09T22:46:44.061197
page-based,5000,1000,20,290.7,,265.1,383.1,,0,http://localhost:5000/api/v1/books?page=5000&limit=1000,2026-04-09T22:46:50.899769
page-based,10000,1000,20,421.6,,385.3,572.8,,0,http://localhost:5000/api/v1/books?page=10000&limit=1000,2026-04-09T22:47:00.359537
offset,1000,1000,20,218.3,,176.9,405.5,,0,http://localhost:5000/api/v2/books?offset=999000&limit=1000,2026-04-09T22:47:05.753920
offset,2500,1000,20,219.2,,209.8,232.7,,0,http://localhost:5000/api/v2/books?offset=2499000&limit=1000,2026-04-09T22:47:11.161389
offset,5000,1000,20,275.5,,265.2,305.4,,0,http://localhost:5000/api/v2/books?offset=4999000&limit=1000,2026-04-09T22:47:17.694180
offset,10000,1000,20,407.9,,387.8,507.6,,0,http://localhost:5000/api/v2/books?offset=9999000&limit=1000,2026-04-09T22:47:26.875195
cursor,1000,1000,20,23.4,,15.7,51.3,,0,http://localhost:5000/api/v3/books?cursor=999000&limit=1000,2026-04-09T22:47:28.370030
cursor,2500,1000,20,23.8,,18.9,52.4,,0,http://localhost:5000/api/v3/books?cursor=2499000&limit=1000,2026-04-09T22:47:29.873705
cursor,5000,1000,20,23.7,,19.7,27.3,,0,http://localhost:5000/api/v3/books?cursor=4999000&limit=1000,2026-04-09T22:47:31.376905
cursor,10000,1000,20,24.5,,12.9,51.4,,0,http://localhost:5000/api/v3/books?cursor=9999000&limit=1000,2026-04-09T22:47:32.897566
